elapsed_s,process_cpu_pct_one_core,gui_thread_cpu_pct,io_thread_cpu_pct,plot_render_avg_ms,plot_render_max_ms,speed_points_m0,speed_points_m1,current_points_m0,current_points_m1,rx_total,rx_queue
1.0045270999980858,15.55458439647876,10.888209077535132,4.666375318943628,1.712799996312242,2.335299999685958,969,968,20,19,2052,0
2.013866199995391,21.672597445257395,13.932384071951184,7.740213373306213,2.9429333323302367,3.7280999968061224,1932,1932,39,38,4093,35
3.026558700003079,12.343332255255277,9.257499191441457,3.085833063813819,3.74770000053104,4.369400005089119,2878,2878,58,57,6099,105
4.044949999995879,9.205695296165906,6.137130197443938,3.068565098721969,4.626849997293903,5.285699997330084,3902,3901,78,77,8266,23
5.046307299999171,7.8019104668975965,3.1207641867590383,4.681146280138558,5.982533339799072,6.257300003198907,4871,4870,97,96,10318,12
6.059322300003259,13.881828008413738,13.881828008413738,0.0,6.669866663287394,6.976699994993396,5830,5830,116,115,12350,58
7.072191799990833,12.34117524533354,9.255881434000154,3.085293811333385,7.9744999966351315,8.608599993749522,6795,6794,135,133,14391,93
8.086511300003622,7.702208229163983,6.161766583331187,1.5404416458327967,8.466533327009529,9.005800005979836,7759,7759,153,152,16432,127
9.088527600004454,12.474846966051965,7.796779353782478,4.678067612269487,9.857450004346902,10.64079999923706,8728,8728,172,171,18484,128
10.089405499995337,18.73355381327812,14.05016535995859,4.68338845331953,10.756633331766352,11.10980000521522,9723,9723,192,191,20593,70
11.09133209999709,9.35697285607908,7.797477380065901,1.5594954760131803,11.08380000005127,11.334599999827333,9665,9666,189,189,22657,58
12.098626999999397,7.755921329475712,7.755921329475712,0.0,11.245766659461273,11.434699990786612,9702,9702,191,191,24768,11
