elapsed_s,process_cpu_pct_one_core,gui_thread_cpu_pct,io_thread_cpu_pct,plot_render_avg_ms,plot_render_max_ms,speed_points_m0,speed_points_m1,current_points_m0,current_points_m1,rx_total,rx_queue
1.0022480999905383,6.235980891417008,1.558995222854252,4.676985668562756,1.8258749987580813,2.1667999972123653,928,926,18,18,1961,93
2.002074199990602,7.813858830050046,4.6883152980300276,3.1255435320200182,2.904075005062623,3.3109000069089234,1903,1901,37,37,4025,70
3.0022692999918945,15.621952157113958,9.373171294268376,6.248780862845583,4.160750006121816,4.7193000063998625,2882,2880,57,57,6101,47
4.001201299994136,7.820852670634706,4.692511602380824,3.1283410682538824,4.769899998791516,4.962299994076602,3818,3817,75,75,8084,104
5.001491899995017,10.934322485875974,7.810230347054267,3.124092138821707,5.993075003061676,6.36500000837259,4816,4814,94,94,10195,46
6.00188569999591,7.809424648566421,4.685654789139853,3.1237698594265684,7.42277499375632,7.834799995180219,5757,5755,113,113,12189,105
7.001012599997921,14.074788697983903,7.819327054435503,6.255461643548402,8.571033336920664,9.833200005232356,6749,6748,132,132,14288,47
8.00040479999734,14.071052385648159,9.380701590432105,4.690350795216053,9.336650000477675,9.651700005633757,7707,7706,151,151,16318,69
9.000280299995211,6.250778221901941,6.250778221901941,0.0,11.213225003302796,12.225700003909878,8653,8652,170,170,18324,104
10.001939599998877,4.679734915836994,3.1198232772246626,1.5599116386123313,11.570966671570204,12.06260001345072,9662,9661,189,189,20458,23
11.00116229998821,10.946008332393543,7.818577380281103,3.127430952112441,12.329700002737809,12.757200005580671,9693,9693,190,190,22487,35
12.0014097999956,10.934793638493664,9.372680261565998,1.5621133769276663,12.719974998617545,13.018500001635402,9670,9670,190,190,24505,69
13.001019699993776,4.689329307371355,4.689329307371355,0.0,12.96840000334972,13.30850001249928,9720,9719,190,191,26569,46
14.000988299987512,21.875686896705595,15.625490640503997,6.2501962562015985,12.967599999683443,13.332999995327555,9693,9693,190,190,28610,58
15.001892100000987,9.366534525969215,9.366534525969215,0.0,12.743866667733528,13.269899995066226,9697,9697,190,191,30629,82
